flowcell	kit	preset_model	ont_model
FLO-PRO002	SQK-LSK112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-LSK112-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-RAD112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-NBD112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-NBD112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-RBK112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002	SQK-RBK112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-LSK112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-LSK112-XL	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-RAD112	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-NBD112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-NBD112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-RBK112-24	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO002M	SQK-RBK112-96	dna_r9.4_400bps_5mer	dna_r9.4.1_e8.1m
FLO-PRO114	SQK-LSK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-LSK114-XL	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-ULK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-RAD114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-NBD114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-NBD114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-RBK114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114	SQK-RBK114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-LSK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-LSK114-XL	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-ULK114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-RAD114	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-NBD114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-NBD114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-RBK114-24	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO114M	SQK-RBK114-96	dna_r10.4.1_400bps_9mer	dna_r10.4.1_e8.2_400bps
FLO-PRO111	SQK-CS9109	_	dna_r10.3_450bps
FLO-PRO111	SQK-DCS108	_	dna_r10.3_450bps
FLO-PRO111	SQK-DCS109	_	dna_r10.3_450bps
FLO-PRO111	SQK-LRK001	_	dna_r10.3_450bps
FLO-PRO111	SQK-LSK108	_	dna_r10.3_450bps
FLO-PRO111	SQK-LSK109	_	dna_r10.3_450bps
FLO-PRO111	SQK-LSK109-XL	_	dna_r10.3_450bps
FLO-PRO111	SQK-LSK110	_	dna_r10.3_450bps
FLO-PRO111	SQK-LSK110-XL	_	dna_r10.3_450bps
FLO-PRO111	SQK-LWP001	_	dna_r10.3_450bps
